Date,Home Team,Away Team,Home Score,Away Score,Play-off Game?,Home Odds,Draw Odds,Away Odds,Bookmakers Surveyed
2018-05-25,Crusaders,Hurricanes,24,13,,1.82,20.97,2.03,10
2018-05-19,Jaguares,Bulls,54,24,,1.42,22.55,2.97,10
2018-05-19,Lions,Brumbies,42,24,,1.15,32.84,5.57,10
2018-05-19,Sharks,Chiefs,28,24,,1.32,23.31,3.55,10
2018-05-19,Waratahs,Highlanders,41,12,,2.79,22.16,1.47,10
2018-05-19,Blues,Crusaders,24,32,,4.2,27.49,1.24,10
2018-05-19,Sunwolves,Stormers,26,23,,3.9,28.53,1.26,10
2018-05-18,Hurricanes,Reds,38,34,,1.02,49.57,15.91,10
2018-12-05,Bulls,Sharks,39,33,,1.61,21.29,2.42,10
2018-12-05,Stormers,Chiefs,9,15,,1.96,21.63,1.89,10
2018-12-05,Brumbies,Rebels,24,27,,1.45,21.94,2.86,10
2018-12-05,Highlanders,Lions,39,27,,1.34,24.06,3.4,10
2018-12-05,Crusaders,Waratahs,31,29,,1.06,44.07,8.88,10
2018-12-05,Sunwolves,Reds,63,28,,3.09,22.98,1.4,10
2018-11-05,Blues,Hurricanes,15,36,,3.72,23.99,1.29,10
2018-05-05,Sharks,Highlanders,38,12,,2.65,21.76,1.52,10
2018-05-05,Stormers,Bulls,29,17,,1.67,21.31,2.26,10
2018-05-05,Waratahs,Blues,21,24,,1.47,22.45,2.8,10
2018-05-05,Hurricanes,Lions,28,19,,1.16,31.01,5.47,10
2018-04-05,Rebels,Crusaders,10,55,,6.19,34.47,1.12,10
2018-04-05,Chiefs,Jaguares,19,23,,1.15,32.01,5.76,10
2018-04-28,Bulls,Highlanders,28,29,,2.47,21.54,1.58,10
2018-04-28,Brumbies,Crusaders,8,21,,6.55,39.98,1.11,10
2018-04-28,Blues,Jaguares,13,20,,1.37,23.17,3.23,10
2018-04-28,Reds,Lions,27,22,,5.06,32.55,1.17,10
2018-04-28,Stormers,Rebels,34,18,,1.19,32.13,4.69,10
2018-04-27,Hurricanes,Sunwolves,43,15,,1.0,56.67,31.58,10
2018-04-22,Brumbies,Jaguares,20,25,,1.41,22.9,2.97,10
2018-04-21,Sharks,Stormers,24,17,,1.65,21.67,2.3,10
2018-04-21,Bulls,Rebels,28,10,,1.18,32.03,4.84,10
2018-04-21,Reds,Chiefs,12,36,,5.17,30.77,1.17,10
2018-04-21,Crusaders,Sunwolves,33,11,,1.01,60.67,26.33,10
2018-04-20,Waratahs,Lions,0,29,,1.81,21.16,2.05,10
2018-04-20,Blues,Highlanders,16,34,,3.27,24.63,1.35,10
2018-04-14,Sharks,Bulls,10,40,,1.4,22.84,3.07,10
2018-04-14,Waratahs,Reds,37,16,,1.27,25.85,3.9,10
2018-04-14,Highlanders,Brumbies,43,17,,1.09,44.04,7.03,10
2018-04-14,Rebels,Jaguares,22,25,,1.22,30.89,4.4,10
2018-04-14,Sunwolves,Blues,10,24,,6.96,44.31,1.09,10
2018-04-13,Hurricanes,Chiefs,25,13,,1.28,26.72,3.7,10
2018-07-04,Jaguares,Crusaders,14,40,,5.13,32.59,1.17,10
2018-07-04,Lions,Stormers,52,31,,1.38,25.16,3.19,10
2018-07-04,Brumbies,Reds,45,21,,1.56,21.26,2.53,10
2018-07-04,Chiefs,Blues,21,19,,1.28,25.77,3.85,10
2018-07-04,Sunwolves,Waratahs,29,50,,6.53,35.38,1.12,10
2018-06-04,Hurricanes,Sharks,38,37,,1.05,48.26,9.77,10
2018-01-04,Lions,Crusaders,8,14,,3.0,24.67,1.41,10
2018-03-31,Bulls,Stormers,33,23,,2.11,22.24,1.78,10
2018-03-31,Brumbies,Waratahs,17,24,,2.04,20.23,1.84,10
2018-03-31,Blues,Sharks,40,63,,1.18,29.93,4.95,10
2018-03-30,Rebels,Hurricanes,19,50,,4.39,28.41,1.22,10
2018-03-30,Chiefs,Highlanders,27,22,,1.78,21.68,2.1,10
2018-03-24,Jaguares,Lions,49,35,,3.05,26.65,1.4,10
2018-03-24,Stormers,Reds,25,19,,1.2,31.31,4.72,10
2018-03-24,Hurricanes,Highlanders,29,12,,1.45,22.68,2.92,10
2018-03-24,Sunwolves,Chiefs,10,61,,8.9,57.29,1.06,10
2018-03-23,Rebels,Sharks,46,14,,1.48,23.39,2.76,10
2018-03-23,Crusaders,Bulls,33,14,,1.06,44.92,9.38,10
2018-03-18,Waratahs,Rebels,51,27,,1.72,21.57,2.2,10
2018-03-17,Jaguares,Reds,7,18,,1.28,24.35,3.8,10
2018-03-17,Lions,Sunwolves,40,38,,1.01,52.25,22.09,10
2018-03-17,Stormers,Blues,37,20,,2.41,21.04,1.62,10
2018-03-17,Brumbies,Sharks,24,17,,2.07,20.0,1.82,10
2018-03-17,Highlanders,Crusaders,25,17,,1.69,20.07,2.26,10
2018-03-16,Chiefs,Bulls,41,28,,1.1,35.84,7.29,10
2018-10-03,Jaguares,Waratahs,38,28,,2.22,21.8,1.71,10
2018-10-03,Lions,Blues,35,38,,1.24,27.47,4.3,10
2018-10-03,Sharks,Sunwolves,50,22,,1.02,53.92,13.14,10
2018-10-03,Reds,Bulls,20,14,,1.71,20.76,2.23,10
2018-10-03,Hurricanes,Crusaders,29,19,,1.7,20.76,2.25,10
2018-09-03,Rebels,Brumbies,33,10,,1.62,21.43,2.42,10
2018-09-03,Highlanders,Stormers,33,15,,1.11,38.22,6.78,10
2018-03-03,Jaguares,Hurricanes,9,34,,5.44,31.98,1.16,10
2018-03-03,Bulls,Lions,35,49,,3.28,24.98,1.36,10
2018-03-03,Sharks,Waratahs,24,24,,1.31,24.05,3.62,10
2018-03-03,Crusaders,Stormers,45,28,,1.08,40.74,7.76,10
2018-03-03,Sunwolves,Rebels,17,37,,3.09,24.9,1.4,10
2018-02-03,Reds,Brumbies,18,10,,2.92,23.06,1.44,10
2018-02-03,Blues,Chiefs,21,27,,1.6,21.82,2.44,10
2018-02-24,Bulls,Hurricanes,21,19,,5.85,31.18,1.14,10
2018-02-24,Lions,Jaguares,47,27,Y,1.11,34.29,6.72,10
2018-02-24,Waratahs,Stormers,34,27,Y,1.44,23.54,2.91,10
2018-02-24,Crusaders,Chiefs,45,23,Y,1.31,23.74,3.61,10
2018-02-24,Sunwolves,Brumbies,25,32,Y,6.87,33.68,1.11,10
2018-02-23,Rebels,Reds,45,19,Y,1.43,23.91,2.91,10
2018-02-23,Highlanders,Blues,41,34,Y,1.35,23.67,3.33,10
2018-02-17,Lions,Sharks,26,19,Y,1.31,25.09,3.63,10
2018-02-17,Stormers,Jaguares,28,20,,1.33,25.37,3.4,10
2017-05-08,Lions,Crusaders,17,25,,2.03,21.46,1.85,10
2017-07-29,Lions,Hurricanes,44,29,,2.43,23.98,1.58,10
2017-07-29,Crusaders,Chiefs,27,13,,1.26,25.1,3.9,10
2017-07-22,Stormers,Chiefs,11,17,,2.37,22.76,1.62,10
2017-07-22,Lions,Sharks,23,21,,1.11,34.38,6.71,10
2017-07-22,Crusaders,Highlanders,17,0,,1.39,21.56,3.1,10
2017-07-21,Brumbies,Hurricanes,16,35,,5.6,29.56,1.15,10
2017-07-15,Sharks,Lions,10,27,,4.23,27.21,1.23,10
2017-07-15,Bulls,Stormers,33,41,,2.49,23.41,1.56,10
2017-07-15,Force,Waratahs,40,11,,1.94,21.09,1.9,10
2017-07-15,Hurricanes,Crusaders,31,22,,1.66,21.71,2.28,10
2017-07-15,Chiefs,Brumbies,28,10,,1.06,41.11,8.34,10
2017-07-15,Sunwolves,Blues,48,21,,15.52,49.58,1.02,10
2017-07-15,Kings,Cheetahs,20,21,,1.54,23.39,2.52,10
2017-07-14,Rebels,Jaguares,29,32,,2.84,26.2,1.43,10
2017-07-14,Highlanders,Reds,40,17,,1.04,48.96,9.91,10
2017-08-07,Stormers,Sunwolves,52,15,,1.01,57.07,19.98,10
2017-08-07,Bulls,Kings,30,31,,1.26,27.66,3.94,10
2017-08-07,Waratahs,Jaguares,27,40,,1.19,27.84,4.8,10
2017-07-07,Force,Rebels,31,22,,1.31,25.74,3.48,10
2017-07-07,Reds,Brumbies,16,15,,3.21,24.15,1.36,10
2017-01-07,Lions,Sunwolves,94,7,,1.01,47.19,20.74,10
2017-01-07,Cheetahs,Stormers,34,40,,2.93,24.18,1.42,10
2017-06-30,Jaguares,Kings,30,31,,1.21,28.37,4.48,10
2017-06-30,Sharks,Bulls,17,30,,1.22,27.33,4.33,10
2017-09-06,Hurricanes,Chiefs,14,17,,1.33,24.44,3.45,10
2017-03-06,Force,Hurricanes,12,34,,8.82,41.53,1.06,10
2017-03-06,Brumbies,Rebels,32,3,,1.11,33.66,6.56,10
2017-03-06,Chiefs,Waratahs,46,31,,1.11,34.65,6.33,10
2017-03-06,Crusaders,Highlanders,25,22,,1.36,24.53,3.21,10
2017-02-06,Blues,Reds,34,29,,1.13,32.46,5.83,10
2017-05-28,Lions,Kings,54,10,,1.03,53.84,11.83,10
2017-05-27,Jaguares,Brumbies,15,39,,1.57,21.87,2.46,10
2017-05-27,Sharks,Stormers,22,10,,1.77,21.57,2.11,10
2017-05-27,Bulls,Hurricanes,20,34,,7.39,39.0,1.08,10
2017-05-27,Rebels,Crusaders,19,41,,11.25,49.57,1.03,10
2017-05-27,Highlanders,Waratahs,44,28,,1.09,37.1,7.01,10
2017-05-27,Sunwolves,Cheetahs,7,47,,2.12,22.4,1.75,10
2017-05-26,Reds,Force,26,40,,1.33,25.69,3.36,10
2017-05-26,Blues,Chiefs,16,16,,2.67,22.64,1.5,10
2017-05-21,Waratahs,Rebels,50,23,,1.15,31.27,5.44,10
2017-05-20,Kings,Brumbies,10,19,,2.66,23.0,1.49,10
2017-05-20,Lions,Bulls,51,14,,1.12,33.2,6.24,10
2017-05-20,Sunwolves,Sharks,17,38,,4.59,29.77,1.2,10
2017-05-20,Force,Highlanders,6,55,,4.78,27.69,1.19,10
2017-05-20,Hurricanes,Cheetahs,61,7,,1.02,55.33,13.7,10
2017-05-19,Stormers,Blues,30,22,,1.95,22.85,1.89,10
2017-05-19,Chiefs,Crusaders,24,31,,2.21,22.56,1.7,10
2017-05-13,Jaguares,Force,6,16,,1.13,32.84,5.88,10
2017-05-13,Kings,Sharks,35,32,,4.85,30.31,1.18,10
2017-05-13,Bulls,Highlanders,10,17,,4.92,27.91,1.18,10
2017-05-13,Rebels,Reds,24,29,,2.42,22.56,1.59,10
2017-05-13,Crusaders,Hurricanes,20,12,,1.85,22.07,2.0,10
2017-12-05,Brumbies,Lions,6,13,,2.41,22.09,1.6,10
2017-12-05,Blues,Cheetahs,50,32,,1.07,42.42,8.24,10
2017-06-05,Jaguares,Sunwolves,46,39,,1.04,47.25,9.82,10
2017-06-05,Bulls,Crusaders,24,62,,4.65,29.24,1.19,10
2017-06-05,Sharks,Force,37,12,,1.13,32.58,5.82,10
2017-06-05,Waratahs,Blues,33,40,,2.83,23.1,1.45,10
2017-06-05,Chiefs,Reds,46,17,,1.05,44.33,10.13,10
2017-06-05,Rebels,Lions,10,47,,5.64,30.82,1.14,10
2017-05-05,Cheetahs,Highlanders,41,45,,5.58,30.66,1.14,10
2017-05-05,Hurricanes,Stormers,41,22,,1.03,53.37,11.14,10
2017-04-30,Brumbies,Blues,12,18,,2.43,21.89,1.58,10
2017-04-29,Jaguares,Sharks,25,33,,1.32,23.64,3.45,10
2017-04-29,Kings,Rebels,44,3,,2.09,21.61,1.77,10
2017-04-29,Cheetahs,Crusaders,21,48,,5.87,34.48,1.12,10
2017-04-29,Force,Lions,15,24,,4.25,25.68,1.23,10
