Date;Home Team;Away Team;Home Score;Away Score;Play-off Game?;Home Odds;Draw Odds;Away Odds;Bookmakers Surveyed
23-May-15;Stormers;Rebels;31;15;;1.2;26.99;4.64;10
23-May-15;Cheetahs;Lions;17;40;;2.25;20.63;1.68;10
23-May-15;Force;Highlanders;3;23;;2.72;21.82;1.49;10
23-May-15;Waratahs;Crusaders;32;22;;1.67;20.36;2.27;10
23-May-15;Blues;Hurricanes;5;29;;2.89;21.95;1.43;10
22-May-15;Reds;Sharks;14;21;;1.79;20.32;2.06;10
22-May-15;Chiefs;Bulls;34;20;;1.39;22.48;3.1;10
16-May-15;Cheetahs;Highlanders;24;45;;2.65;21.89;1.5;10
16-May-15;Lions;Brumbies;20;30;;2.08;20.57;1.77;10
16-May-15;Waratahs;Sharks;33;18;;1.24;24.03;4.09;10
16-May-15;Hurricanes;Chiefs;22;18;;1.38;21.37;3.14;10
15-May-15;Reds;Rebels;46;29;;2.33;20.21;1.63;10
15-May-15;Blues;Bulls;23;18;;2.13;19.67;1.73;10
09-May-15;Stormers;Brumbies;25;24;;1.59;20.63;2.43;10
09-May-15;Lions;Highlanders;28;23;;2.01;20;1.83;10
09-May-15;Force;Waratahs;18;11;;3.59;22.93;1.3;10
09-May-15;Hurricanes;Sharks;32;24;;1.2;25.93;4.59;10
08-May-15;Rebels;Blues;42;22;;1.58;21.49;2.45;10
08-May-15;Crusaders;Reds;58;17;;1.09;34.57;7.52;10
02-May-15;Bulls;Lions;35;33;;1.31;21.95;3.6;10
02-May-15;Cheetahs;Stormers;25;17;;3.07;21.47;1.39;10
02-May-15;Rebels;Chiefs;16;15;;2.84;21.6;1.44;10
02-May-15;Hurricanes;Crusaders;29;23;;1.52;20.62;2.6;10
02-May-15;Blues;Force;41;24;;1.29;22.46;3.73;10
01-May-15;Brumbies;Waratahs;10;13;;1.79;19.75;2.08;10
01-May-15;Highlanders;Sharks;48;15;;1.32;22.26;3.5;10
26-Apr-15;Reds;Hurricanes;19;35;;3.35;22.28;1.33;10
26-Apr-15;Stormers;Bulls;15;13;;1.64;20.17;2.31;10
26-Apr-15;Lions;Cheetahs;34;29;;1.27;23.87;3.84;10
25-Apr-15;Waratahs;Rebels;18;16;;1.21;26.94;4.39;10
25-Apr-15;Crusaders;Blues;29;15;;1.26;24.33;3.88;10
24-Apr-15;Brumbies;Highlanders;31;18;;1.35;22.51;3.3;10
24-Apr-15;Chiefs;Force;35;27;;1.11;30.55;6.61;10
19-Apr-15;Cheetahs;Reds;17;18;;1.39;22.04;3.08;10
19-Apr-15;Sharks;Bulls;10;17;;1.91;19.97;1.92;10
18-Apr-15;Force;Stormers;6;13;;2.83;20.97;1.44;10
18-Apr-15;Brumbies;Rebels;8;13;;1.25;24.76;4.01;10
18-Apr-15;Highlanders;Blues;30;24;;1.38;22.81;3.11;10
18-Apr-15;Hurricanes;Waratahs;24;29;;1.43;22.2;2.88;10
17-Apr-15;Crusaders;Chiefs;9;26;;1.66;20.81;2.28;10
11-Apr-15;Bulls;Reds;43;22;;1.1;30.09;6.46;10
11-Apr-15;Lions;Sharks;23;21;;1.68;20.76;2.22;10
11-Apr-15;Force;Cheetahs;15;24;;1.5;21.47;2.61;10
11-Apr-15;Waratahs;Stormers;18;32;;1.25;23.87;3.95;10
11-Apr-15;Crusaders;Highlanders;20;25;;1.28;24.02;3.71;10
10-Apr-15;Blues;Brumbies;16;14;;2.17;20.89;1.71;10
04-Apr-15;Lions;Bulls;22;18;;2.2;20.26;1.69;10
04-Apr-15;Sharks;Crusaders;10;52;;1.79;20.18;2.06;10
04-Apr-15;Brumbies;Cheetahs;20;3;;1.12;30.18;6.13;10
04-Apr-15;Chiefs;Blues;23;16;;1.21;26.96;4.36;10
03-Apr-15;Rebels;Reds;23;15;;1.66;20.59;2.26;10
03-Apr-15;Hurricanes;Stormers;25;20;;1.28;24.51;3.73;10
28-Mar-15;Bulls;Crusaders;31;19;;2.09;20.08;1.78;10
28-Mar-15;Sharks;Force;15;9;;1.17;26.6;4.94;10
28-Mar-15;Waratahs;Blues;23;11;;1.18;26.35;4.8;10
28-Mar-15;Highlanders;Stormers;39;21;;1.59;20.29;2.4;10
28-Mar-15;Chiefs;Cheetahs;37;27;;1.06;32.74;8.59;10
27-Mar-15;Reds;Lions;17;18;;1.35;22.53;3.26;10
27-Mar-15;Hurricanes;Rebels;36;12;;1.15;28.42;5.5;10
22-Mar-15;Waratahs;Brumbies;28;13;;1.8;20.52;2.06;10
21-Mar-15;Sharks;Chiefs;12;11;;1.67;20.74;2.26;10
21-Mar-15;Bulls;Force;25;24;;1.12;29.27;6.33;10
21-Mar-15;Crusaders;Cheetahs;57;14;;1.07;34.08;8.57;10
20-Mar-15;Rebels;Lions;16;20;;1.33;22.54;3.46;10
20-Mar-15;Highlanders;Hurricanes;13;20;;2.12;20.39;1.76;10
14-Mar-15;Cheetahs;Sharks;10;27;;2.18;20.28;1.71;10
14-Mar-15;Stormers;Chiefs;19;28;;1.76;20.5;2.1;10
14-Mar-15;Reds;Brumbies;0;29;;3.73;23.52;1.28;10
